invoice_id,account_id,invoice_date,amount_usd,discount_pct,days_to_pay
INV-ACC-1007-202509,ACC-1007,2025-09-24,18128.48,0.0964,7
INV-ACC-1007-202510,ACC-1007,2025-10-22,18584.09,0.0532,32
INV-ACC-1007-202511,ACC-1007,2025-11-28,17850.04,0.102,11
INV-ACC-1007-202512,ACC-1007,2025-12-25,17883.55,0.1224,22
INV-ACC-1008-202503,ACC-1008,2025-03-23,6471.1,0.042,33
INV-ACC-1008-202504,ACC-1008,2025-04-28,5882.32,0.1362,14
INV-ACC-1008-202505,ACC-1008,2025-05-24,5345.88,0.0208,28
INV-ACC-1008-202506,ACC-1008,2025-06-23,5100.57,0.019,18
INV-ACC-1008-202507,ACC-1008,2025-07-24,5128.68,0.0432,23
INV-ACC-1008-202508,ACC-1008,2025-08-28,4709.04,0.1452,6
INV-ACC-1008-202509,ACC-1008,2025-09-27,4300.97,0.1471,14
INV-ACC-1008-202510,ACC-1008,2025-10-28,4062.81,0.1191,8
INV-ACC-1008-202511,ACC-1008,2025-11-25,3851.76,0.0512,10
INV-ACC-1008-202512,ACC-1008,2025-12-26,3632.54,0.0488,13
INV-ACC-1009-202406,ACC-1009,2024-06-24,51619.62,0.0702,13
INV-ACC-1009-202407,ACC-1009,2024-07-23,48367.91,0.1119,3
INV-ACC-1009-202408,ACC-1009,2024-08-24,51834.26,0.0269,32
INV-ACC-1009-202409,ACC-1009,2024-09-24,50728.49,0.0491,32
INV-ACC-1009-202410,ACC-1009,2024-10-25,46694.49,0.1202,3
INV-ACC-1009-202411,ACC-1009,2024-11-27,45345.07,0.0799,3
INV-ACC-1009-202412,ACC-1009,2024-12-26,42160.8,0.1333,19
INV-ACC-1009-202501,ACC-1009,2025-01-24,40483.59,0.1257,15
INV-ACC-1009-202502,ACC-1009,2025-02-24,41162.91,0.1428,15
INV-ACC-1009-202503,ACC-1009,2025-03-25,39640.59,0.0195,22
INV-ACC-1009-202504,ACC-1009,2025-04-25,42330.98,0.1328,16
INV-ACC-1009-202505,ACC-1009,2025-05-25,42085.56,0.1178,27
INV-ACC-1009-202506,ACC-1009,2025-06-22,40812.71,0.1374,8
INV-ACC-1009-202507,ACC-1009,2025-07-23,40239.78,0.1316,6
INV-ACC-1009-202508,ACC-1009,2025-08-22,41674.91,0.1392,22
INV-ACC-1009-202509,ACC-1009,2025-09-26,39821.18,0.076,14
INV-ACC-1009-202510,ACC-1009,2025-10-26,39200.28,0.1518,14
INV-ACC-1009-202511,ACC-1009,2025-11-27,41347.63,0.0639,14
INV-ACC-1009-202512,ACC-1009,2025-12-25,38055.39,0.0794,8
INV-ACC-1010-202507,ACC-1010,2025-07-24,9216.57,0.1143,26
INV-ACC-1010-202508,ACC-1010,2025-08-27,9501.65,0.0854,13
INV-ACC-1010-202509,ACC-1010,2025-09-26,9792.81,0.0988,9
INV-ACC-1010-202510,ACC-1010,2025-10-24,10030.45,0.0392,18
INV-ACC-1010-202511,ACC-1010,2025-11-26,9998.41,0.0946,5
INV-ACC-1010-202512,ACC-1010,2025-12-27,9645.83,0.0878,15
INV-ACC-1011-202405,ACC-1011,2024-05-24,4034.99,0.1189,32
INV-ACC-1011-202406,ACC-1011,2024-06-25,3958.81,0.0681,29
INV-ACC-1011-202407,ACC-1011,2024-07-22,4123.27,0.0856,16
INV-ACC-1011-202408,ACC-1011,2024-08-25,4186.36,0.1003,12
INV-ACC-1011-202409,ACC-1011,2024-09-23,4589.5,0.1529,31
INV-ACC-1011-202410,ACC-1011,2024-10-22,4581.01,0.0312,25
INV-ACC-1011-202411,ACC-1011,2024-11-27,4637.77,0.1184,16
INV-ACC-1011-202412,ACC-1011,2024-12-23,4304.12,0.1231,18
INV-ACC-1011-202501,ACC-1011,2025-01-26,4419.99,0.0263,18
INV-ACC-1011-202502,ACC-1011,2025-02-23,4295.65,0.0517,33
INV-ACC-1011-202503,ACC-1011,2025-03-28,4638.81,0.0694,26
INV-ACC-1011-202504,ACC-1011,2025-04-25,4294.53,0.0317,3
INV-ACC-1011-202505,ACC-1011,2025-05-25,4046.99,0.1226,29
INV-ACC-1011-202506,ACC-1011,2025-06-22,4345.22,0.1157,31
INV-ACC-1011-202507,ACC-1011,2025-07-23,4063.72,0.0685,8
INV-ACC-1011-202508,ACC-1011,2025-08-28,3980.79,0.1442,17
INV-ACC-1011-202509,ACC-1011,2025-09-28,3991.81,0.1492,22
INV-ACC-1011-202510,ACC-1011,2025-10-25,4268.62,0.049,4
INV-ACC-1011-202511,ACC-1011,2025-11-26,3950.4,0.054,29
INV-ACC-1011-202512,ACC-1011,2025-12-24,3706.98,0.0795,22
INV-ACC-1012-202506,ACC-1012,2025-06-23,55713.97,0.1146,28
INV-ACC-1012-202507,ACC-1012,2025-07-23,52377.08,0.0362,7
INV-ACC-1012-202508,ACC-1012,2025-08-25,51331.15,0.1144,14
INV-ACC-1012-202509,ACC-1012,2025-09-27,48291.37,0.0442,25
INV-ACC-1012-202510,ACC-1012,2025-10-22,47087.05,0.1446,22
INV-ACC-1012-202511,ACC-1012,2025-11-23,49105.6,0.1588,28
INV-ACC-1012-202512,ACC-1012,2025-12-28,52239.15,0.048,9
INV-ACC-1013-202508,ACC-1013,2025-08-28,16077.39,0.1207,17
INV-ACC-1013-202509,ACC-1013,2025-09-28,19069.55,0.0372,33
INV-ACC-1013-202510,ACC-1013,2025-10-22,20143.41,0.1327,26
INV-ACC-1013-202511,ACC-1013,2025-11-26,20511.41,0.1182,4
INV-ACC-1013-202512,ACC-1013,2025-12-25,24151.71,0.0666,20
INV-ACC-1014-202504,ACC-1014,2025-04-23,6336.34,0.0572,29
INV-ACC-1014-202505,ACC-1014,2025-05-25,5968.37,0.0451,10
INV-ACC-1014-202506,ACC-1014,2025-06-27,5776.48,0.14,30
INV-ACC-1014-202507,ACC-1014,2025-07-28,5758.04,0.0315,20
INV-ACC-1014-202508,ACC-1014,2025-08-28,5808.03,0.0284,19
INV-ACC-1014-202509,ACC-1014,2025-09-26,5643.18,0.0136,15
INV-ACC-1014-202510,ACC-1014,2025-10-23,5107.26,0.1366,22
INV-ACC-1014-202511,ACC-1014,2025-11-28,5095.36,0.0491,12
INV-ACC-1014-202512,ACC-1014,2025-12-22,4856.94,0.0265,11
INV-ACC-1015-202406,ACC-1015,2024-06-26,14782.83,0.121,6
INV-ACC-1015-202407,ACC-1015,2024-07-23,16050.55,0.1188,15
INV-ACC-1015-202408,ACC-1015,2024-08-22,16296.4,0.1192,17
INV-ACC-1015-202409,ACC-1015,2024-09-23,16790.28,0.1043,6
INV-ACC-1015-202410,ACC-1015,2024-10-24,16412.7,0.0938,30
INV-ACC-1015-202411,ACC-1015,2024-11-25,16308.83,0.1051,5
INV-ACC-1015-202412,ACC-1015,2024-12-28,16367.35,0.0532,33
INV-ACC-1015-202501,ACC-1015,2025-01-27,16690.84,0.0444,9
INV-ACC-1015-202502,ACC-1015,2025-02-22,17850.38,0.144,9
INV-ACC-1015-202503,ACC-1015,2025-03-22,17694.78,0.0261,16
INV-ACC-1015-202504,ACC-1015,2025-04-23,17765.19,0.0354,23
INV-ACC-1015-202505,ACC-1015,2025-05-28,16599.3,0.086,31
INV-ACC-1015-202506,ACC-1015,2025-06-24,17284.53,0.0188,21
INV-ACC-1015-202507,ACC-1015,2025-07-26,16753.96,0.1072,14
INV-ACC-1015-202508,ACC-1015,2025-08-25,17118.67,0.1597,20
INV-ACC-1015-202509,ACC-1015,2025-09-22,17935.35,0.0552,7
INV-ACC-1015-202510,ACC-1015,2025-10-25,17012.09,0.0687,32
INV-ACC-1015-202511,ACC-1015,2025-11-23,18315.05,0.0479,13
INV-ACC-1015-202512,ACC-1015,2025-12-22,18099.75,0.0242,16
INV-ACC-1016-202503,ACC-1016,2025-03-22,15030.91,0.0716,4
INV-ACC-1016-202504,ACC-1016,2025-04-22,16142.04,0.1545,20
INV-ACC-1016-202505,ACC-1016,2025-05-25,16155.14,0.0226,22
INV-ACC-1016-202506,ACC-1016,2025-06-22,16028.76,0.078,14
INV-ACC-1016-202507,ACC-1016,2025-07-28,17709.85,0.1328,31
INV-ACC-1016-202508,ACC-1016,2025-08-27,17831.1,0.0747,7
INV-ACC-1016-202509,ACC-1016,2025-09-22,18754.25,0.1265,18
INV-ACC-1016-202510,ACC-1016,2025-10-27,19753.19,0.1244,21
INV-ACC-1016-202511,ACC-1016,2025-11-27,18969.28,0.0973,7
INV-ACC-1016-202512,ACC-1016,2025-12-28,21606.36,0.0505,6
INV-ACC-1017-202405,ACC-1017,2024-05-28,3955.0,0.147,7
INV-ACC-1017-202406,ACC-1017,2024-06-25,4395.39,0.0759,5
INV-ACC-1017-202407,ACC-1017,2024-07-22,4981.05,0.0993,28
INV-ACC-1017-202408,ACC-1017,2024-08-26,5021.82,0.1486,12
INV-ACC-1017-202409,ACC-1017,2024-09-26,5104.09,0.085,26
INV-ACC-1017-202410,ACC-1017,2024-10-22,5415.14,0.1264,14
INV-ACC-1017-202411,ACC-1017,2024-11-26,6059.17,0.066,26
INV-ACC-1017-202412,ACC-1017,2024-12-26,6146.22,0.1564,14
INV-ACC-1017-202501,ACC-1017,2025-01-26,6115.88,0.1357,11
INV-ACC-1017-202502,ACC-1017,2025-02-25,6395.81,0.0891,24
INV-ACC-1017-202503,ACC-1017,2025-03-28,6878.66,0.1471,26
INV-ACC-1017-202504,ACC-1017,2025-04-26,7259.3,0.0336,6
INV-ACC-1017-202505,ACC-1017,2025-05-27,7902.1,0.0275,13
INV-ACC-1017-202506,ACC-1017,2025-06-23,7949.96,0.0616,24
INV-ACC-1017-202507,ACC-1017,2025-07-26,7819.73,0.1433,5
INV-ACC-1017-202508,ACC-1017,2025-08-23,7816.24,0.0925,11
INV-ACC-1017-202509,ACC-1017,2025-09-22,8050.13,0.0372,14
INV-ACC-1017-202510,ACC-1017,2025-10-23,9022.44,0.1566,31
INV-ACC-1017-202511,ACC-1017,2025-11-22,9837.83,0.1412,26
INV-ACC-1017-202512,ACC-1017,2025-12-27,10476.23,0.1129,16
INV-ACC-1018-202410,ACC-1018,2024-10-27,29230.34,0.037,4
INV-ACC-1018-202411,ACC-1018,2024-11-25,29200.92,0.0712,15
INV-ACC-1018-202412,ACC-1018,2024-12-25,31209.12,0.1034,5
INV-ACC-1018-202501,ACC-1018,2025-01-22,31354.62,0.0495,25
INV-ACC-1018-202502,ACC-1018,2025-02-25,31405.31,0.0254,13
INV-ACC-1018-202503,ACC-1018,2025-03-24,30257.93,0.1566,22
INV-ACC-1018-202504,ACC-1018,2025-04-28,33608.32,0.1254,28
INV-ACC-1018-202505,ACC-1018,2025-05-23,36221.81,0.1235,30
INV-ACC-1018-202506,ACC-1018,2025-06-23,34036.11,0.0175,18
INV-ACC-1018-202507,ACC-1018,2025-07-28,37728.45,0.0922,30
INV-ACC-1018-202508,ACC-1018,2025-08-24,34961.86,0.1521,18
INV-ACC-1018-202509,ACC-1018,2025-09-25,35865.24,0.1563,33
INV-ACC-1018-202510,ACC-1018,2025-10-23,36802.0,0.0715,18
INV-ACC-1018-202511,ACC-1018,2025-11-24,38640.67,0.0637,13
INV-ACC-1018-202512,ACC-1018,2025-12-26,37879.44,0.1025,29
INV-ACC-1019-202410,ACC-1019,2024-10-22,6507.86,0.1208,14
INV-ACC-1019-202411,ACC-1019,2024-11-22,6509.75,0.0551,10
INV-ACC-1019-202412,ACC-1019,2024-12-23,6516.83,0.0623,27
INV-ACC-1019-202501,ACC-1019,2025-01-22,6333.62,0.1218,28
INV-ACC-1019-202502,ACC-1019,2025-02-23,6181.11,0.1584,15
INV-ACC-1019-202503,ACC-1019,2025-03-28,5775.91,0.077,10
INV-ACC-1019-202504,ACC-1019,2025-04-24,5815.77,0.0973,27
INV-ACC-1019-202505,ACC-1019,2025-05-26,5390.08,0.0214,14
INV-ACC-1019-202506,ACC-1019,2025-06-27,5766.42,0.0816,9
INV-ACC-1019-202507,ACC-1019,2025-07-22,5602.34,0.1317,8
INV-ACC-1019-202508,ACC-1019,2025-08-27,5363.2,0.1381,29
INV-ACC-1019-202509,ACC-1019,2025-09-27,5780.84,0.085,32
INV-ACC-1019-202510,ACC-1019,2025-10-24,5511.11,0.0691,12
INV-ACC-1019-202511,ACC-1019,2025-11-28,5372.03,0.1549,5
INV-ACC-1019-202512,ACC-1019,2025-12-28,5168.0,0.1536,11
INV-ACC-1020-202502,ACC-1020,2025-02-24,1822.58,0.1482,17
INV-ACC-1020-202503,ACC-1020,2025-03-23,1829.64,0.0326,20
INV-ACC-1020-202504,ACC-1020,2025-04-28,1926.38,0.1504,19
INV-ACC-1020-202505,ACC-1020,2025-05-27,1826.68,0.0291,30
INV-ACC-1020-202506,ACC-1020,2025-06-27,2014.42,0.0581,23
INV-ACC-1020-202507,ACC-1020,2025-07-26,1985.89,0.1174,32
INV-ACC-1020-202508,ACC-1020,2025-08-28,1835.16,0.0517,31
INV-ACC-1020-202509,ACC-1020,2025-09-27,1822.59,0.0991,20
INV-ACC-1020-202510,ACC-1020,2025-10-25,1867.22,0.1341,6
INV-ACC-1020-202511,ACC-1020,2025-11-22,1759.23,0.1243,29
INV-ACC-1020-202512,ACC-1020,2025-12-23,1746.85,0.1294,4
INV-ACC-1021-202505,ACC-1021,2025-05-23,55153.78,0.1593,17
INV-ACC-1021-202506,ACC-1021,2025-06-24,54842.14,0.0663,17
INV-ACC-1021-202507,ACC-1021,2025-07-22,51305.78,0.0171,20
INV-ACC-1021-202508,ACC-1021,2025-08-28,48441.96,0.1369,23
INV-ACC-1021-202509,ACC-1021,2025-09-27,47208.96,0.1535,7
INV-ACC-1021-202510,ACC-1021,2025-10-28,46063.87,0.0501,26
INV-ACC-1021-202511,ACC-1021,2025-11-27,48371.15,0.1479,16
INV-ACC-1021-202512,ACC-1021,2025-12-24,47943.49,0.0669,8
INV-ACC-1022-202502,ACC-1022,2025-02-25,6395.39,0.0612,19
INV-ACC-1022-202503,ACC-1022,2025-03-25,6111.46,0.0499,13
INV-ACC-1022-202504,ACC-1022,2025-04-27,5706.06,0.0295,4
INV-ACC-1022-202505,ACC-1022,2025-05-28,5789.31,0.0634,15
INV-ACC-1022-202506,ACC-1022,2025-06-24,5525.97,0.0948,19
INV-ACC-1022-202507,ACC-1022,2025-07-26,5822.33,0.0298,7
INV-ACC-1022-202508,ACC-1022,2025-08-28,5405.72,0.0487,19
INV-ACC-1022-202509,ACC-1022,2025-09-26,5086.22,0.0305,21
INV-ACC-1022-202510,ACC-1022,2025-10-24,5370.62,0.0356,11
INV-ACC-1022-202511,ACC-1022,2025-11-28,5095.28,0.1199,4
INV-ACC-1022-202512,ACC-1022,2025-12-26,4596.37,0.0126,3
INV-ACC-1023-202406,ACC-1023,2024-06-27,6445.18,0.0833,5
INV-ACC-1023-202407,ACC-1023,2024-07-26,6544.74,0.0953,32
INV-ACC-1023-202408,ACC-1023,2024-08-25,6831.18,0.151,9
INV-ACC-1023-202409,ACC-1023,2024-09-27,6745.4,0.124,14
INV-ACC-1023-202410,ACC-1023,2024-10-23,6847.52,0.0793,8
INV-ACC-1023-202411,ACC-1023,2024-11-23,6301.91,0.1333,22
INV-ACC-1023-202412,ACC-1023,2024-12-25,6595.07,0.0379,5
INV-ACC-1023-202501,ACC-1023,2025-01-24,6714.66,0.104,12
INV-ACC-1023-202502,ACC-1023,2025-02-23,6079.96,0.0281,30
INV-ACC-1023-202503,ACC-1023,2025-03-27,5696.06,0.1413,28
INV-ACC-1023-202504,ACC-1023,2025-04-28,5195.82,0.1234,6
INV-ACC-1023-202505,ACC-1023,2025-05-28,4930.68,0.042,5
INV-ACC-1023-202506,ACC-1023,2025-06-28,4735.76,0.1213,26
INV-ACC-1023-202507,ACC-1023,2025-07-27,4443.34,0.1432,30
INV-ACC-1023-202508,ACC-1023,2025-08-27,4601.09,0.1318,29
INV-ACC-1023-202509,ACC-1023,2025-09-23,4586.18,0.0887,21
INV-ACC-1023-202510,ACC-1023,2025-10-25,4311.49,0.1178,24
INV-ACC-1023-202511,ACC-1023,2025-11-28,4089.94,0.0751,27
INV-ACC-1023-202512,ACC-1023,2025-12-27,3840.58,0.0469,10
INV-ACC-1024-202404,ACC-1024,2024-04-26,33830.15,0.04,19
INV-ACC-1024-202405,ACC-1024,2024-05-23,33932.5,0.0291,27
INV-ACC-1024-202406,ACC-1024,2024-06-26,34642.45,0.0958,11
INV-ACC-1024-202407,ACC-1024,2024-07-28,34122.91,0.1305,5
INV-ACC-1024-202408,ACC-1024,2024-08-23,32750.81,0.1252,24
INV-ACC-1024-202409,ACC-1024,2024-09-27,32441.5,0.1331,16
INV-ACC-1024-202410,ACC-1024,2024-10-28,31815.31,0.1144,33
INV-ACC-1024-202411,ACC-1024,2024-11-27,31034.08,0.1435,33
INV-ACC-1024-202412,ACC-1024,2024-12-23,28204.44,0.0623,12
INV-ACC-1024-202501,ACC-1024,2025-01-24,28927.82,0.1038,6
INV-ACC-1024-202502,ACC-1024,2025-02-28,29966.52,0.1031,8
INV-ACC-1024-202503,ACC-1024,2025-03-28,32706.91,0.0398,29
INV-ACC-1024-202504,ACC-1024,2025-04-26,32626.44,0.1331,7
INV-ACC-1024-202505,ACC-1024,2025-05-24,31231.99,0.0396,25
INV-ACC-1024-202506,ACC-1024,2025-06-23,33059.26,0.1303,33
INV-ACC-1024-202507,ACC-1024,2025-07-26,32618.0,0.0141,32
INV-ACC-1024-202508,ACC-1024,2025-08-26,34276.01,0.08,3
INV-ACC-1024-202509,ACC-1024,2025-09-25,33430.93,0.1545,22
INV-ACC-1024-202510,ACC-1024,2025-10-26,32437.0,0.1281,6
INV-ACC-1024-202511,ACC-1024,2025-11-24,32543.75,0.1503,12
INV-ACC-1024-202512,ACC-1024,2025-12-25,31664.38,0.064,3
INV-ACC-1025-202502,ACC-1025,2025-02-26,5072.97,0.1068,12
INV-ACC-1025-202503,ACC-1025,2025-03-26,5336.73,0.0327,6
INV-ACC-1025-202504,ACC-1025,2025-04-28,5350.26,0.0906,23
INV-ACC-1025-202505,ACC-1025,2025-05-24,5326.8,0.0855,31
INV-ACC-1025-202506,ACC-1025,2025-06-28,5193.56,0.0234,23
INV-ACC-1025-202507,ACC-1025,2025-07-28,5026.6,0.1041,22
INV-ACC-1025-202508,ACC-1025,2025-08-22,4707.64,0.0921,20
INV-ACC-1025-202509,ACC-1025,2025-09-25,4886.03,0.135,23
INV-ACC-1025-202510,ACC-1025,2025-10-24,4295.55,0.0468,13
INV-ACC-1025-202511,ACC-1025,2025-11-24,4511.15,0.0938,18
INV-ACC-1025-202512,ACC-1025,2025-12-26,4588.63,0.0119,32
INV-ACC-1026-202508,ACC-1026,2025-08-28,6691.03,0.0889,22
INV-ACC-1026-202509,ACC-1026,2025-09-25,6125.71,0.0201,6
INV-ACC-1026-202510,ACC-1026,2025-10-28,5949.54,0.0775,16
INV-ACC-1026-202511,ACC-1026,2025-11-27,5524.5,0.1295,24
INV-ACC-1026-202512,ACC-1026,2025-12-27,5888.05,0.0133,17
INV-ACC-1027-202507,ACC-1027,2025-07-27,62003.09,0.0355,3
INV-ACC-1027-202508,ACC-1027,2025-08-25,65392.11,0.0871,3
INV-ACC-1027-202509,ACC-1027,2025-09-22,71630.0,0.0248,16
INV-ACC-1027-202510,ACC-1027,2025-10-28,85043.82,0.0101,5
INV-ACC-1027-202511,ACC-1027,2025-11-25,90313.79,0.0487,10
INV-ACC-1027-202512,ACC-1027,2025-12-26,93326.67,0.1593,26
INV-ACC-1028-202407,ACC-1028,2024-07-22,16635.47,0.1595,21
