metric_month,account_id,arr_usd,active_flag,seats_purchased,active_seats,feature_adoption_pct,support_tickets,csat_score,renewal_due_in_days
2025-02,ACC-1003,450086.04,1,280,155,0.677,5,84.19,275
2025-03,ACC-1003,443106.16,1,252,176,0.5473,9,69.18,245
2025-04,ACC-1003,426121.92,1,262,129,0.4531,10,78.53,215
2025-05,ACC-1003,418829.54,1,286,153,0.7179,0,77.34,185
2025-06,ACC-1003,399384.37,1,299,135,0.3288,10,73.14,155
2025-07,ACC-1003,417517.75,1,233,146,0.7758,7,69.09,125
2025-08,ACC-1003,398975.8,1,255,211,0.909,0,87.01,95
2025-09,ACC-1003,377876.4,1,301,207,0.5517,3,74.12,65
2025-10,ACC-1003,370426.54,1,295,225,0.615,4,70.23,35
2025-11,ACC-1003,393633.97,1,288,237,0.341,11,68.45,365
2025-12,ACC-1003,395909.52,1,244,106,0.8364,3,90.82,335
2024-10,ACC-1004,209222.0,1,106,57,0.449,4,70.81,365
2024-11,ACC-1004,208273.5,1,89,81,0.6679,1,76.86,335
2024-12,ACC-1004,218358.89,1,81,60,0.5166,9,63.72,305
2025-01,ACC-1004,241692.33,1,85,58,0.385,8,64.2,275
2025-02,ACC-1004,240768.51,1,97,34,0.8811,6,87.99,245
2025-03,ACC-1004,251158.53,1,103,49,0.6968,8,64.15,215
2025-04,ACC-1004,273773.78,1,94,41,0.5232,10,64.21,185
2025-05,ACC-1004,288424.45,1,89,74,0.3021,11,67.26,155
2025-06,ACC-1004,309211.97,1,107,62,0.3357,10,79.96,125
2025-07,ACC-1004,308725.76,1,86,63,0.6505,7,82.53,95
2025-08,ACC-1004,341344.24,1,111,102,0.3956,2,68.5,65
2025-09,ACC-1004,372555.12,1,110,83,0.3101,8,62.72,35
2025-10,ACC-1004,409517.96,1,109,41,0.7189,6,72.94,365
2025-11,ACC-1004,414989.66,1,88,31,0.6568,0,73.15,335
2025-12,ACC-1004,412086.32,1,100,53,0.3443,6,74.09,305
2024-03,ACC-1005,53549.0,1,32,27,0.4187,8,61.98,365
2024-04,ACC-1005,56635.89,1,30,22,0.668,0,92.2,335
2024-05,ACC-1005,59870.52,1,31,12,0.7894,0,89.0,305
2024-06,ACC-1005,66134.66,1,31,23,0.4477,8,73.18,275
2024-07,ACC-1005,72646.25,1,28,18,0.5599,10,78.88,245
2024-08,ACC-1005,74781.92,1,25,23,0.2823,8,61.89,215
2024-09,ACC-1005,80854.82,1,31,14,0.6674,1,78.45,185
2024-10,ACC-1005,80034.35,1,28,16,0.5883,2,73.27,155
2024-11,ACC-1005,82761.84,1,32,16,0.7167,7,73.83,125
2024-12,ACC-1005,84543.97,1,28,17,0.6985,5,84.69,95
2025-01,ACC-1005,93660.69,1,26,21,0.2796,10,80.39,65
2025-02,ACC-1005,99873.33,1,33,15,0.761,3,88.29,35
2025-03,ACC-1005,105866.97,1,30,24,0.8889,6,63.22,365
2025-04,ACC-1005,105943.18,1,27,13,0.8485,5,86.35,335
2025-05,ACC-1005,105354.11,1,35,30,0.8132,1,86.38,305
2025-06,ACC-1005,114826.03,1,30,13,0.7974,5,79.09,275
2025-07,ACC-1005,117916.08,1,30,11,0.4197,3,66.23,245
2025-08,ACC-1005,116412.57,1,34,20,0.5369,8,72.13,215
2025-09,ACC-1005,126290.52,1,26,23,0.565,9,66.6,185
2025-10,ACC-1005,136156.43,1,32,22,0.6868,4,74.04,155
2025-11,ACC-1005,135732.4,1,27,11,0.6282,1,81.11,125
2025-12,ACC-1005,150145.8,1,28,9,0.5413,5,82.36,95
2025-01,ACC-1006,257281.0,1,251,133,0.8965,3,66.84,365
2025-02,ACC-1006,256784.39,1,225,157,0.5246,9,83.82,335
2025-03,ACC-1006,261848.54,1,245,151,0.4012,6,67.75,305
2025-04,ACC-1006,260744.17,1,300,182,0.7816,2,83.25,275
2025-05,ACC-1006,263807.15,1,287,239,0.7393,0,94.27,245
2025-06,ACC-1006,244500.79,1,299,263,0.8842,0,94.68,215
2025-07,ACC-1006,226846.67,1,249,144,0.8804,0,83.43,185
2025-08,ACC-1006,219909.07,1,301,183,0.6963,2,89.38,155
2025-09,ACC-1006,219173.68,1,278,196,0.7519,1,92.57,125
2025-10,ACC-1006,223502.26,1,274,188,0.7974,6,81.01,95
2025-11,ACC-1006,228347.13,1,237,182,0.6371,4,84.59,65
2025-12,ACC-1006,215074.17,1,265,97,0.863,0,88.05,35
2024-04,ACC-1007,170934.0,1,91,82,0.846,4,74.73,365
2024-05,ACC-1007,182167.2,1,88,31,0.8628,2,86.2,335
2024-06,ACC-1007,172417.17,1,105,41,0.7361,1,80.74,305
2024-07,ACC-1007,184359.75,1,88,70,0.4586,4,68.55,275
2024-08,ACC-1007,189308.71,1,106,64,0.8195,0,84.22,245
2024-09,ACC-1007,179665.44,1,102,56,0.8391,4,79.29,215
2024-10,ACC-1007,189826.66,1,85,73,0.9012,0,68.5,185
2024-11,ACC-1007,188968.09,1,83,61,0.905,0,76.08,155
2024-12,ACC-1007,186990.97,1,100,61,0.8641,6,77.38,125
2025-01,ACC-1007,195444.53,1,108,52,0.3295,3,84.14,95
2025-02,ACC-1007,185394.31,1,100,74,0.9117,0,92.47,65
2025-03,ACC-1007,178599.36,1,105,84,0.8708,1,77.52,35
2025-04,ACC-1007,191443.06,1,91,86,0.6233,0,79.25,365
2025-05,ACC-1007,204019.88,1,102,70,0.6387,0,71.97,335
2025-06,ACC-1007,217967.88,1,92,35,0.3418,6,82.45,305
2025-07,ACC-1007,228257.3,1,109,89,0.8799,5,80.45,275
2025-08,ACC-1007,220065.26,1,105,41,0.6223,3,72.03,245
2025-09,ACC-1007,210411.86,1,91,33,0.7893,2,74.46,215
2025-10,ACC-1007,217297.54,1,104,47,0.7407,4,74.91,185
2025-11,ACC-1007,214814.87,1,84,65,0.8045,0,81.82,155
2025-12,ACC-1007,219309.75,1,89,36,0.362,6,73.68,125
2025-03,ACC-1008,77958.0,1,32,21,0.3767,8,77.7,365
2025-04,ACC-1008,70559.66,1,27,24,0.6948,1,68.64,335
2025-05,ACC-1008,65953.05,1,32,17,0.8244,8,61.07,305
2025-06,ACC-1008,62036.79,1,31,19,0.7807,3,80.18,275
2025-07,ACC-1008,60111.71,1,34,26,0.3597,8,64.54,245
2025-08,ACC-1008,55267.79,1,30,12,0.2926,5,78.62,215
2025-09,ACC-1008,50535.61,1,33,18,0.4952,10,64.07,185
2025-10,ACC-1008,50438.23,1,32,20,0.7202,1,74.66,155
2025-11,ACC-1008,47677.0,1,35,31,0.5741,8,68.54,125
2025-12,ACC-1008,44926.2,1,28,22,0.8083,7,77.12,95
2024-06,ACC-1009,606134.0,1,267,134,0.8606,4,75.79,365
2024-07,ACC-1009,580247.81,1,289,181,0.4165,4,68.57,335
2024-08,ACC-1009,610819.57,1,235,129,0.4278,7,70.84,305
2024-09,ACC-1009,587419.7,1,238,197,0.7532,7,66.4,275
2024-10,ACC-1009,548958.51,1,296,257,0.3,6,82.16,245
2024-11,ACC-1009,531847.75,1,255,193,0.9096,7,72.67,215
2024-12,ACC-1009,511155.7,1,279,104,0.5084,5,82.14,185
2025-01,ACC-1009,494416.91,1,228,119,0.592,2,87.28,155
2025-02,ACC-1009,496520.45,1,284,138,0.3506,9,82.37,125
2025-03,ACC-1009,494549.66,1,272,122,0.5275,10,64.59,95
2025-04,ACC-1009,497475.16,1,281,171,0.6226,5,81.49,65
2025-05,ACC-1009,522012.42,1,288,239,0.4472,4,79.86,35
2025-06,ACC-1009,490403.27,1,299,276,0.7399,5,71.15,365
2025-07,ACC-1009,502883.78,1,278,151,0.8772,2,74.52,335
2025-08,ACC-1009,486470.64,1,236,125,0.8375,0,68.82,305
2025-09,ACC-1009,483879.61,1,294,231,0.6822,8,62.67,275
2025-10,ACC-1009,485667.85,1,263,186,0.5301,8,75.41,245
2025-11,ACC-1009,487260.15,1,277,250,0.3623,3,67.06,215
2025-12,ACC-1009,467229.48,1,258,165,0.5304,6,80.88,185
2025-07,ACC-1010,114349.0,1,92,76,0.7496,3,78.55,365
2025-08,ACC-1010,111198.81,1,104,35,0.3197,8,62.31,335
2025-09,ACC-1010,121571.4,1,90,38,0.703,3,73.87,305
2025-10,ACC-1010,120941.3,1,99,78,0.7301,1,68.89,275
2025-11,ACC-1010,118104.54,1,102,90,0.7828,0,79.3,245
2025-12,ACC-1010,120449.8,1,98,88,0.8383,7,67.08,215
2024-05,ACC-1011,50329.0,1,33,17,0.5591,3,83.37,365
2024-06,ACC-1011,48342.09,1,30,19,0.8054,7,63.18,335
2024-07,ACC-1011,48069.27,1,27,9,0.4017,7,84.71,305
2024-08,ACC-1011,50153.86,1,32,29,0.3218,10,75.8,275
2024-09,ACC-1011,53133.04,1,26,23,0.7185,1,72.0,245
2024-10,ACC-1011,53763.99,1,27,17,0.5147,3,89.17,215
2024-11,ACC-1011,54949.45,1,32,21,0.36,9,81.62,185
2024-12,ACC-1011,52911.86,1,30,22,0.4955,7,63.38,155
2025-01,ACC-1011,51615.98,1,32,15,0.9077,0,93.05,125
2025-02,ACC-1011,51312.25,1,31,13,0.5075,7,70.48,95
2025-03,ACC-1011,53553.73,1,34,31,0.9084,1,78.21,65
2025-04,ACC-1011,50030.02,1,28,25,0.5467,2,75.72,35
2025-05,ACC-1011,50329.58,1,34,25,0.4977,1,68.04,365
2025-06,ACC-1011,53323.59,1,26,19,0.6281,1,67.77,335
2025-07,ACC-1011,50138.28,1,33,11,0.3268,11,73.92,305
2025-08,ACC-1011,47713.99,1,34,27,0.7742,0,80.07,275
2025-09,ACC-1011,48365.45,1,30,22,0.8089,6,73.44,245
2025-10,ACC-1011,50189.61,1,30,27,0.475,2,86.61,215
2025-11,ACC-1011,48938.04,1,28,20,0.7049,0,84.28,185
2025-12,ACC-1011,46302.17,1,31,14,0.746,5,84.9,155
2025-06,ACC-1012,660320.0,1,222,140,0.4472,3,82.24,365
2025-07,ACC-1012,631810.97,1,283,251,0.399,2,74.01,335
2025-08,ACC-1012,623469.2,1,242,111,0.7773,6,70.28,305
2025-09,ACC-1012,598149.06,1,244,119,0.8862,5,81.4,275
2025-10,ACC-1012,584110.22,1,279,201,0.5789,7,69.14,245
2025-11,ACC-1012,574033.09,1,246,121,0.8683,0,69.95,215
2025-12,ACC-1012,616953.65,1,285,207,0.9184,3,78.65,185
2025-08,ACC-1013,196360.0,1,83,63,0.4628,3,66.49,365
2025-09,ACC-1013,221369.05,1,103,65,0.7442,1,88.88,335
2025-10,ACC-1013,244240.6,1,98,49,0.9197,0,74.15,305
2025-11,ACC-1013,255733.23,1,94,62,0.5359,7,86.65,275
2025-12,ACC-1013,281298.31,1,90,80,0.4404,10,64.84,245
2025-04,ACC-1014,76738.0,1,34,26,0.7676,0,71.5,365
2025-05,ACC-1014,70518.4,1,26,21,0.5776,4,70.69,335
2025-06,ACC-1014,70531.26,1,29,17,0.4738,11,81.32,305
2025-07,ACC-1014,66687.87,1,32,12,0.8762,2,80.99,275
2025-08,ACC-1014,67972.95,1,25,14,0.754,6,75.82,245
2025-09,ACC-1014,67551.45,1,28,16,0.3876,8,61.55,215
2025-10,ACC-1014,62407.23,1,26,17,0.564,7,85.67,185
2025-11,ACC-1014,60959.28,1,32,26,0.6558,7,78.14,155
2025-12,ACC-1014,58070.25,1,29,11,0.8388,2,66.49,125
2024-06,ACC-1015,183006.0,1,273,198,0.6419,7,62.11,365
2024-07,ACC-1015,195028.45,1,256,231,0.754,8,66.0,335
2024-08,ACC-1015,194760.71,1,297,230,0.5682,4,68.62,305
2024-09,ACC-1015,194281.95,1,241,220,0.7081,2,90.72,275
2024-10,ACC-1015,203705.08,1,284,97,0.8948,3,66.92,245
2024-11,ACC-1015,201285.73,1,260,174,0.619,6,79.84,215
2024-12,ACC-1015,193816.95,1,284,102,0.822,4,67.88,185
2025-01,ACC-1015,197049.01,1,265,168,0.6554,3,71.76,155
2025-02,ACC-1015,209961.49,1,264,136,0.7021,1,83.39,125
2025-03,ACC-1015,214422.98,1,278,184,0.799,5,69.02,95
2025-04,ACC-1015,212964.45,1,242,139,0.453,4,77.18,65
2025-05,ACC-1015,204650.65,1,282,246,0.8998,3,78.74,35
2025-06,ACC-1015,200803.8,1,239,175,0.6371,3,87.93,365
2025-07,ACC-1015,209279.37,1,292,187,0.6247,8,83.23,335
2025-08,ACC-1015,211014.81,1,293,136,0.4966,6,68.26,305
2025-09,ACC-1015,207202.6,1,232,121,0.6717,5,66.58,275
2025-10,ACC-1015,205257.84,1,267,232,0.6362,1,73.31,245
2025-11,ACC-1015,223030.24,1,302,233,0.345,8,63.4,215
2025-12,ACC-1015,222497.62,1,238,113,0.6694,8,74.04,185
2025-03,ACC-1016,178437.0,1,91,79,0.3956,10,82.86,365
2025-04,ACC-1016,191535.6,1,111,58,0.7325,5,89.49,335
2025-05,ACC-1016,199659.47,1,106,101,0.7445,4,84.84,305
2025-06,ACC-1016,200293.0,1,109,68,0.7312,0,93.51,275
2025-07,ACC-1016,204782.89,1,96,36,0.7008,2,88.09,245
2025-08,ACC-1016,214142.85,1,83,44,0.5631,7,83.87,215
2025-09,ACC-1016,223065.97,1,100,42,0.4905,8,65.9,185
2025-10,ACC-1016,229830.26,1,94,52,0.8572,3,84.58,155
2025-11,ACC-1016,234996.17,1,82,44,0.4852,6,67.03,125
2025-12,ACC-1016,254971.48,1,92,81,0.4557,2,69.01,95
2024-05,ACC-1017,47441.0,1,33,22,0.6137,1,84.8,365
2024-06,ACC-1017,52205.15,1,31,21,0.4603,5,87.91,335
2024-07,ACC-1017,58061.81,1,32,26,0.768,6,86.47,305
2024-08,ACC-1017,58849.67,1,28,12,0.3725,3,67.61,275
2024-09,ACC-1017,63256.87,1,30,18,0.7299,1,81.99,245
2024-10,ACC-1017,66202.37,1,34,22,0.5719,4,85.68,215
2024-11,ACC-1017,71236.25,1,26,12,0.5147,4,85.55,185
2024-12,ACC-1017,73843.4,1,30,15,0.8885,5,86.35,155
2025-01,ACC-1017,74007.37,1,30,14,0.6482,3,69.92,125
2025-02,ACC-1017,79165.26,1,25,14,0.7876,7,62.92,95
2025-03,ACC-1017,79696.06,1,25,19,0.621,6,85.38,65
2025-04,ACC-1017,86046.47,1,27,16,0.7885,7,80.31,35
2025-05,ACC-1017,92460.16,1,32,27,0.7353,8,85.72,365
2025-06,ACC-1017,93173.37,1,32,16,0.9014,0,79.95,335
2025-07,ACC-1017,94016.7,1,29,18,0.9037,5,76.52,305
2025-08,ACC-1017,95025.91,1,32,21,0.5904,8,66.89,275
2025-09,ACC-1017,99961.14,1,34,12,0.7086,7,88.1,245
2025-10,ACC-1017,108742.85,1,33,20,0.7543,8,85.81,215
2025-11,ACC-1017,117228.01,1,33,31,0.6179,8,76.28,185
2025-12,ACC-1017,127941.23,1,31,16,0.6224,4,71.07,155
2024-10,ACC-1018,359354.0,1,224,137,0.8917,4,69.96,365
2024-11,ACC-1018,346877.87,1,299,128,0.8208,5,87.23,335
2024-12,ACC-1018,360353.17,1,265,240,0.8197,7,68.52,305
2025-01,ACC-1018,385276.09,1,272,187,0.7657,0,75.06,275
2025-02,ACC-1018,390481.1,1,273,166,0.3699,5,82.25,245
2025-03,ACC-1018,375281.65,1,241,201,0.7478,0,92.79,215
2025-04,ACC-1018,400273.63,1,238,209,0.7838,7,67.73,185
2025-05,ACC-1018,421190.43,1,277,135,0.6157,3,66.78,155
2025-06,ACC-1018,409007.58,1,227,147,0.3536,5,68.49,125
2025-07,ACC-1018,437329.48,1,240,139,0.4458,5,88.08,95
2025-08,ACC-1018,418918.13,1,223,99,0.2936,6,84.12,65
2025-09,ACC-1018,430031.78,1,281,188,0.4719,3,86.6,35
2025-10,ACC-1018,448138.71,1,229,111,0.7383,2,89.45,365
2025-11,ACC-1018,464780.02,1,251,123,0.7586,1,86.85,335
2025-12,ACC-1018,449775.0,1,251,182,0.6517,8,73.42,305
2024-10,ACC-1019,80258.0,1,83,63,0.3657,12,60.13,365
2024-11,ACC-1019,75517.29,1,97,37,0.4947,9,85.33,335
2024-12,ACC-1019,77149.14,1,110,96,0.6012,7,66.63,305
2025-01,ACC-1019,78873.69,1,103,37,0.6775,3,71.21,275
2025-02,ACC-1019,73668.59,1,95,77,0.4469,11,67.11,245
2025-03,ACC-1019,69335.22,1,94,44,0.4056,6,78.28,215
2025-04,ACC-1019,67419.85,1,90,68,0.273,10,75.12,185
2025-05,ACC-1019,65919.12,1,109,40,0.8618,0,72.24,155
2025-06,ACC-1019,67723.93,1,107,71,0.84,5,65.36,125
2025-07,ACC-1019,69497.74,1,93,73,0.5502,11,67.01,95
2025-08,ACC-1019,65658.24,1,95,70,0.6113,1,78.03,65
2025-09,ACC-1019,67017.96,1,90,46,0.7874,4,83.18,35
2025-10,ACC-1019,64819.07,1,83,54,0.6761,3,87.37,365
2025-11,ACC-1019,65530.65,1,97,53,0.7759,3,90.35,335
2025-12,ACC-1019,63987.14,1,98,31,0.7453,5,76.81,305
2025-02,ACC-1020,22356.0,1,28,13,0.3862,9,70.33,365
2025-03,ACC-1020,22769.61,1,30,24,0.8325,4,81.02,335
2025-04,ACC-1020,22344.59,1,29,17,0.474,8,65.84,305
2025-05,ACC-1020,22767.28,1,30,19,0.8486,3,75.56,275
2025-06,ACC-1020,23670.69,1,33,27,0.6004,10,78.13,245
2025-07,ACC-1020,23312.52,1,27,22,0.7431,7,87.52,215
2025-08,ACC-1020,22187.57,1,32,28,0.7457,0,82.32,185
2025-09,ACC-1020,21508.14,1,30,22,0.6946,4,79.79,155
2025-10,ACC-1020,21964.17,1,31,11,0.6653,1,69.24,125
2025-11,ACC-1020,20878.59,1,27,19,0.6199,2,79.01,95
2025-12,ACC-1020,21204.13,1,26,18,0.3143,10,63.0,65
2025-05,ACC-1021,653150.0,1,255,131,0.503,10,79.02,365
2025-06,ACC-1021,642308.27,1,250,211,0.78,4,76.53,335
2025-07,ACC-1021,610228.16,1,225,174,0.7984,1,87.08,305
2025-08,ACC-1021,574867.31,1,241,105,0.3215,12,66.72,275
2025-09,ACC-1021,576655.62,1,248,127,0.5065,2,88.85,245
2025-10,ACC-1021,556674.08,1,287,149,0.4702,3,88.36,215
2025-11,ACC-1021,564705.38,1,292,105,0.5628,2,90.93,185
2025-12,ACC-1021,588464.7,1,276,149,0.3847,10,69.72,155
2025-02,ACC-1022,79759.0,1,101,80,0.7813,4,81.67,365
2025-03,ACC-1022,75964.94,1,92,38,0.2704,10,64.94,335
2025-04,ACC-1022,70896.49,1,89,50,0.4357,11,70.58,305
2025-05,ACC-1022,69285.49,1,86,43,0.3705,9,77.26,275
2025-06,ACC-1022,68908.39,1,80,29,0.8456,7,70.94,245
2025-07,ACC-1022,67790.85,1,85,46,0.5705,10,71.55,215
2025-08,ACC-1022,66510.87,1,88,71,0.5496,5,87.06,185
2025-09,ACC-1022,62277.01,1,81,65,0.7946,4,78.08,155
2025-10,ACC-1022,62614.27,1,98,69,0.2656,4,75.18,125
2025-11,ACC-1022,60059.2,1,99,66,0.3587,12,65.93,95
2025-12,ACC-1022,55533.91,1,82,67,0.4646,8,70.41,65
2024-06,ACC-1023,75873.0,1,34,15,0.525,6,69.1,365
2024-07,ACC-1023,79827.37,1,30,28,0.9028,6,81.7,335
2024-08,ACC-1023,80749.72,1,28,25,0.8649,0,80.78,305
2024-09,ACC-1023,81332.88,1,27,21,0.4277,11,79.44,275
2024-10,ACC-1023,81114.28,1,33,31,0.449,7,71.04,245
2024-11,ACC-1023,76892.5,1,26,12,0.5246,9,78.67,215
2024-12,ACC-1023,80889.86,1,26,11,0.4894,7,69.99,185
2025-01,ACC-1023,78233.55,1,32,24,0.5737,10,76.02,155
2025-02,ACC-1023,73631.38,1,31,23,0.8591,6,87.65,125
2025-03,ACC-1023,69716.47,1,30,20,0.5907,2,67.32,95
2025-04,ACC-1023,64872.87,1,30,24,0.8918,4,73.47,65
2025-05,ACC-1023,60207.49,1,29,24,0.828,0,91.35,35
2025-06,ACC-1023,58110.13,1,29,20,0.5051,2,83.53,365
2025-07,ACC-1023,54184.75,1,26,20,0.7409,6,85.1,335
2025-08,ACC-1023,54947.86,1,34,16,0.6212,0,86.73,305
2025-09,ACC-1023,55881.65,1,26,15,0.6568,4,75.89,275
2025-10,ACC-1023,52408.96,1,29,17,0.7445,6,80.43,245
2025-11,ACC-1023,49742.52,1,33,28,0.4436,4,66.78,215
2025-12,ACC-1023,46593.64,1,33,14,0.7613,6,83.45,185
2024-04,ACC-1024,392638.0,1,274,234,0.6195,2,87.83,365
2024-05,ACC-1024,407260.3,1,285,125,0.9117,0,80.79,335
2024-06,ACC-1024,423840.73,1,286,134,0.6818,5,67.61,305
2024-07,ACC-1024,411765.17,1,248,120,0.5118,3,79.3,275
2024-08,ACC-1024,404045.6,1,266,146,0.345,4,80.42,245
2024-09,ACC-1024,401464.75,1,247,186,0.7881,3,81.02,215
2024-10,ACC-1024,374019.08,1,224,168,0.4228,8,79.03,185
2024-11,ACC-1024,370116.4,1,295,104,0.3456,6,80.62,155
2024-12,ACC-1024,342782.19,1,222,81,0.3743,3,73.04,125
2025-01,ACC-1024,355618.59,1,229,161,0.8037,0,86.45,95
2025-02,ACC-1024,365340.13,1,279,163,0.7587,1,70.23,65
2025-03,ACC-1024,379833.72,1,272,144,0.3034,8,85.05,35
2025-04,ACC-1024,384545.05,1,228,100,0.6534,9,66.09,365
2025-05,ACC-1024,381871.91,1,252,164,0.8498,0,78.53,335
2025-06,ACC-1024,392448.86,1,296,182,0.7853,1,75.32,305
2025-07,ACC-1024,380787.06,1,294,264,0.5205,10,73.45,275
2025-08,ACC-1024,398108.19,1,265,168,0.8004,1,91.64,245
2025-09,ACC-1024,390278.87,1,299,177,0.5437,8,70.89,215
2025-10,ACC-1024,392072.78,1,271,248,0.6585,8,74.05,185
2025-11,ACC-1024,392070.3,1,225,183,0.6459,3,75.62,155
2025-12,ACC-1024,379978.01,1,278,236,0.5284,1,93.49,125
2025-02,ACC-1025,62298.0,1,95,32,0.6397,8,69.49,365
2025-03,ACC-1025,65368.39,1,107,80,0.4351,9,82.21,335
2025-04,ACC-1025,62379.65,1,100,40,0.288,7,65.06,305
2025-05,ACC-1025,65503.4,1,92,62,0.5587,2,74.17,275
2025-06,ACC-1025,62141.64,1,91,55,0.3517,8,73.0,245
2025-07,ACC-1025,59012.82,1,82,51,0.3242,7,75.61,215
2025-08,ACC-1025,56558.8,1,95,45,0.7474,3,71.0,185
2025-09,ACC-1025,56725.69,1,88,61,0.8235,7,68.25,155
2025-10,ACC-1025,53597.34,1,98,59,0.5202,1,86.33,125
2025-11,ACC-1025,53418.54,1,83,66,0.7141,4,81.79,95
2025-12,ACC-1025,53334.37,1,86,75,0.8816,7,78.67,65
2025-08,ACC-1026,78879.0,1,34,29,0.6053,5,69.32,365
2025-09,ACC-1026,74770.59,1,31,25,0.8957,4,66.48,335
2025-10,ACC-1026,69129.15,1,30,19,0.2961,13,66.08,305
2025-11,ACC-1026,68947.85,1,34,16,0.3411,11,79.48,275
2025-12,ACC-1026,70608.96,1,32,13,0.6223,0,72.4,245
2025-07,ACC-1027,752173.0,1,253,189,0.5297,4,73.06,365
2025-08,ACC-1027,784102.99,1,245,214,0.5814,1,73.91,335
2025-09,ACC-1027,863311.67,1,272,175,0.7526,0,90.67,305
2025-10,ACC-1027,990319.37,1,262,192,0.3393,4,79.88,275
2025-11,ACC-1027,1061506.17,1,276,216,0.414,8,62.52,245
2025-12,ACC-1027,1111579.31,1,297,258,0.7345,2,72.84,215
2024-07,ACC-1028,193468.0,1,93,54,0.636,3,79.9,365
2024-08,ACC-1028,196265.24,1,95,82,0.5159,4,69.21,335
2024-09,ACC-1028,197680.79,1,109,96,0.546,8,82.25,305
2024-10,ACC-1028,196202.82,1,101,94,0.6732,4,67.19,275
2024-11,ACC-1028,200598.74,1,107,73,0.3755,10,73.01,245
2024-12,ACC-1028,192837.69,1,105,39,0.5402,5,86.4,215
2025-01,ACC-1028,200202.33,1,86,68,0.6096,4,86.69,185
2025-02,ACC-1028,191904.06,1,82,34,0.527,4,83.1,155
2025-03,ACC-1028,195213.4,1,105,83,0.5302,4,84.97,125
2025-04,ACC-1028,186756.2,1,96,68,0.395,5,81.81,95
2025-05,ACC-1028,200999.11,1,80,36,0.8668,0,78.93,65
2025-06,ACC-1028,211687.34,1,107,36,0.9031,0,68.66,35
2025-07,ACC-1028,221203.16,1,86,78,0.8163,7,67.75,365
2025-08,ACC-1028,220506.89,1,103,42,0.5369,2,69.62,335
2025-09,ACC-1028,228945.46,1,92,73,0.7306,5,69.72,305
2025-10,ACC-1028,237935.82,1,90,72,0.7561,2,69.05,275
2025-11,ACC-1028,227641.93,1,101,34,0.5399,7,64.13,245
2025-12,ACC-1028,233889.68,1,105,81,0.2865,13,64.68,215
2024-01,ACC-1029,74065.0,1,32,15,0.6778,6,77.09,365
2024-02,ACC-1029,70562.75,1,31,22,0.6268,9,77.6,335
2024-03,ACC-1029,70910.24,1,29,22,0.3616,5,74.55,305
2024-04,ACC-1029,68779.48,1,29,13,0.8201,8,72.28,275
2024-05,ACC-1029,65859.94,1,31,22,0.6967,9,65.1,245
2024-06,ACC-1029,70580.92,1,35,27,0.7527,3,84.76,215
2024-07,ACC-1029,68035.39,1,28,10,0.4543,8,85.91,185
2024-08,ACC-1029,69219.44,1,27,21,0.5167,9,68.18,155
2024-09,ACC-1029,73198.77,1,34,22,0.695,6,85.51,125
2024-10,ACC-1029,76658.48,1,30,26,0.8422,0,82.44,95
2024-11,ACC-1029,75589.98,1,26,16,0.6743,2,91.09,65
